date,cases
2020-03-10,1
2020-03-11,6
2020-03-12,0
2020-03-13,11
2020-03-14,14
2020-03-15,15
2020-03-16,23
2020-03-17,81
2020-03-18,0
2020-03-19,104
2020-03-20,108
2020-03-21,110
2020-03-22,0
2020-03-23,131
2020-03-24,0
2020-03-25,133
2020-03-26,138
2020-03-27,144
2020-03-28,153
2020-03-29,158
2020-03-30,169
2020-03-31,0
2020-04-01,175
2020-04-02,185
2020-04-03,191
2020-04-04,202
2020-04-05,206
2020-04-06,212
2020-04-07,219
2020-04-08,220
2020-04-09,228
2020-04-10,230
2020-04-11,231
2020-04-12,240
2020-04-13,280
2020-04-14,303
2020-04-15,335
2020-04-16,376
2020-04-17,432
2020-04-18,465
2020-04-19,495
2020-04-20,552
2020-04-21,607
2020-04-22,656
2020-04-23,722
2020-04-24,781
2020-04-25,853
2020-04-26,915
2020-04-27,978
2020-04-28,"1,049"
2020-04-29,"1,136"
2020-04-30,"1,172"
2020-05-01,"1,218"
2020-05-02,"1,321"
2020-05-03,"1,495"
2020-05-04,"1,659"
2020-05-05,"1,725"
2020-05-06,"1,876"
2020-05-07,"1,935"
2020-05-08,"2,017"
2020-05-09,"2,061"
2020-05-10,"2,158"
2020-05-11,"2,239"
2020-05-12,"2,310"
2020-05-13,"2,457"
2020-05-14,"2,544"
2020-05-15,"2,692"
2020-05-16,"2,820"
2020-05-17,"2,885"
2020-05-18,"2,968"
2020-05-19,"3,074"
2020-05-20,"3,198"
2020-05-21,"3,306"
2020-05-22,"3,407"
2020-05-23,"3,468"
2020-05-24,"3,536"
2020-05-25,"3,781"
2020-05-26,"3,928"
2020-05-27,"4,087"
2020-05-28,"4,193"
2020-05-29,"4,393"
2020-05-30,"4,448"
2020-05-31,"4,853"
2020-06-01,"5,354"
2020-06-02,"5,582"
2020-06-03,"5,776"
2020-06-04,"6,221"
2020-06-05,"6,516"
2020-06-06,"6,788"
2020-06-07,"7,031"
2020-06-08,"7,335"
2020-06-09,"7,673"
2020-06-10,"7,866"
2020-06-11,"8,028"
2020-06-12,"8,177"
2020-06-13,"8,327"
2020-06-14,"8,437"
2020-06-15,"8,794"
2020-06-16,"8,998"
2020-06-17,"9,162"
2020-06-18,"9,328"
2020-06-19,"9,475"
2020-06-20,"9,587"
2020-06-21,"9,634"
2020-06-22,"9,817"
2020-06-23,"9,946"
2020-06-24,"10,116"
2020-06-25,"10,261"
2020-06-26,"10,355"
2020-06-27,"10,426"
