date,,canada,pop1
1/26/2020,,,37742157
1/27/2020,,,37742157
1/28/2020,,,37742157
1/29/2020,,,37742157
1/30/2020,,,37742157
1/31/2020,,,37742157
2/1/2020,,,37742157
2/2/2020,,,37742157
2/3/2020,,,37742157
2/4/2020,,,37742157
2/5/2020,,,37742157
2/6/2020,,,37742157
2/7/2020,,,37742157
2/8/2020,,,37742157
2/9/2020,,,37742157
2/10/2020,,,37742157
2/11/2020,,,37742157
2/12/2020,,,37742157
2/13/2020,,,37742157
2/14/2020,,,37742157
2/15/2020,,,37742157
2/16/2020,,,37742157
2/17/2020,,,37742157
2/18/2020,,,37742157
2/19/2020,,,37742157
2/20/2020,,,37742157
2/21/2020,,,37742157
2/22/2020,,,37742157
2/23/2020,,,37742157
2/24/2020,,,37742157
2/25/2020,,,37742157
2/26/2020,,,37742157
2/27/2020,,,37742157
2/28/2020,,,37742157
2/29/2020,,,37742157
3/1/2020,,,37742157
3/2/2020,,,37742157
3/3/2020,,,37742157
3/4/2020,,,37742157
3/5/2020,,,37742157
3/6/2020,,,37742157
3/7/2020,,,37742157
3/8/2020,,,37742157
3/9/2020,,0.026,37742157
3/10/2020,,0.026,37742157
3/11/2020,,0.026,37742157
3/12/2020,,0.026,37742157
3/13/2020,,0.026,37742157
3/14/2020,,0.026,37742157
3/15/2020,,0.026,37742157
3/16/2020,,0.106,37742157
3/17/2020,,0.159,37742157
3/18/2020,,0.291,37742157
3/19/2020,,0.291,37742157
3/20/2020,,0.397,37742157
3/21/2020,,0.503,37742157
3/22/2020,,0.583,37742157
3/23/2020,,0.768,37742157
3/24/2020,,0.874,37742157
3/25/2020,,1.113,37742157
3/26/2020,,1.51,37742157
3/27/2020,,1.749,37742157
3/28/2020,,2.173,37742157
3/29/2020,,2.544,37742157
3/30/2020,,3.312,37742157
3/31/2020,,4.027,37742157
4/1/2020,,4.637,37742157
4/2/2020,,5.935,37742157
4/3/2020,,7.339,37742157
4/4/2020,,9.538,37742157
4/5/2020,,11.526,37742157
4/6/2020,,13.778,37742157
4/7/2020,,15.394,37742157
4/8/2020,,17.169,37742157
4/9/2020,,20.428,37742157
4/10/2020,,22.972,37742157
4/11/2020,,26.125,37742157
4/12/2020,,29.013,37742157
4/13/2020,,32.457,37742157
4/14/2020,,36.06,37742157
4/15/2020,,40.141,37742157
4/16/2020,,45.519,37742157
4/17/2020,,48.858,37742157
4/18/2020,,52.647,37742157
4/19/2020,,56.833,37742157
4/20/2020,,60.701,37742157
4/21/2020,,65.815,37742157
4/22/2020,,70.982,37742157
4/23/2020,,75.512,37742157
4/24/2020,,80.282,37742157
4/25/2020,,85.236,37742157
4/26/2020,,89.396,37742157
4/27/2020,,94.298,37742157
4/28/2020,,99.517,37742157
4/29/2020,,105.982,37742157
4/30/2020,,110.725,37742157
5/1/2020,,116.077,37742157
5/2/2020,,119.998,37742157
5/3/2020,,123.708,37742157
5/4/2020,,130.12,37742157
5/5/2020,,134.624,37742157
5/6/2020,,138.837,37742157
5/7/2020,,142.732,37742157
5/8/2020,,146.785,37742157
5/9/2020,,151.131,37742157
5/10/2020,,154.257,37742157
5/11/2020,,157.808,37742157
5/12/2020,,161.808,37742157
5/13/2020,,164.537,37742157
5/14/2020,,167.743,37742157
5/15/2020,,170.949,37742157
5/16/2020,,174.102,37742157
5/17/2020,,176.487,37742157
5/18/2020,,178.925,37742157
5/19/2020,,180.912,37742157
5/20/2020,,184.144,37742157
5/21/2020,,186.688,37742157
5/22/2020,,189.284,37742157
5/23/2020,,191.775,37742157
5/24/2020,,194.107,37742157
5/25/2020,,196.597,37742157
5/26/2020,,199.035,37742157
5/27/2020,,201.525,37742157
5/28/2020,,204.466,37742157
5/29/2020,,206.586,37742157
5/30/2020,,208.176,37742157
5/31/2020,,209.474,37742157
6/1/2020,,210.693,37742157
6/2/2020,,212.177,37742157
6/3/2020,,213.607,37742157
6/4/2020,,215.303,37742157
6/5/2020,,216.363,37742157
6/6/2020,,218.006,37742157
6/7/2020,,219.092,37742157
6/8/2020,,220.258,37742157
6/9/2020,,221.159,37742157
6/10/2020,,222.086,37742157
6/11/2020,,222.907,37742157
6/12/2020,,223.676,37742157
6/13/2020,,224.417,37742157
6/14/2020,,224.921,37742157
6/15/2020,,225.133,37742157
6/16/2020,,225.769,37742157
6/17/2020,,226.325,37742157
6/18/2020,,226.67,37742157
6/19/2020,,227.332,37742157
6/20/2020,,228.1,37742157
6/21/2020,,228.551,37742157
6/22/2020,,229.081,37742157
6/23/2020,,229.717,37742157
6/24/2020,,230.511,37742157
6/25/2020,,231.121,37742157
6/26/2020,,231.306,37742157
