date,cases
2020-03-16,15
2020-03-17,17
2020-03-18,19
2020-03-19,23
2020-03-20,0
2020-03-21,31
2020-03-22,0
2020-03-23,38
2020-03-24,78
2020-03-25,80
2020-03-26,123
2020-03-27,180
2020-03-28,188
2020-03-29,195
2020-03-30,221
2020-03-31,253
2020-04-01,276
2020-04-02,311
2020-04-03,343
2020-04-04,372
2020-04-05,415
2020-04-06,500
2020-04-07,529
2020-04-08,555
2020-04-09,617
2020-04-10,652
2020-04-11,697
2020-04-12,744
2020-04-13,800
2020-04-14,862
2020-04-15,935
2020-04-16,984
2020-04-17,"1,075"
2020-04-18,"1,137"
2020-04-19,"1,237"
2020-04-20,"1,276"
2020-04-21,"1,367"
2020-04-22,"1,453"
2020-04-23,"1,541"
2020-04-24,"1,708"
2020-04-25,"1,793"
2020-04-26,"1,864"
2020-04-27,"1,984"
2020-04-28,"2,160"
2020-04-29,"2,381"
2020-04-30,"2,627"
2020-05-01,"2,799"
2020-05-02,"2,907"
2020-05-03,"3,129"
2020-05-04,"3,288"
2020-05-05,"3,499"
2020-05-06,"3,712"
2020-05-07,"3,956"
2020-05-08,"4,327"
2020-05-09,"4,509"
2020-05-10,"4,669"
2020-05-11,"4,875"
2020-05-12,"5,021"
2020-05-13,"5,252"
2020-05-14,"5,423"
2020-05-15,"5,678"
2020-05-16,"5,847"
2020-05-17,"6,061"
2020-05-18,"6,230"
2020-05-19,"6,554"
2020-05-20,"6,815"
2020-05-21,"7,155"
2020-05-22,"7,391"
2020-05-23,"7,685"
2020-05-24,"7,905"
2020-05-25,"8,080"
2020-05-26,"8,259"
2020-05-27,"8,483"
2020-05-28,"8,842"
2020-05-29,"9,067"
2020-05-30,"9,540"
2020-05-31,"10,027"
2020-06-01,"10,485"
2020-06-02,"10,897"
2020-06-03,"11,373"
2020-06-04,"11,890"
2020-06-05,"12,459"
2020-06-06,"13,001"
2020-06-07,"13,487"
2020-06-08,"14,006"
2020-06-09,"14,527"
2020-06-10,"15,206"
2020-06-11,"15,787"
2020-06-12,"16,415"
2020-06-13,"17,450"
2020-06-14,"18,013"
2020-06-15,"18,472"
2020-06-16,"19,107"
2020-06-17,"19,613"
2020-06-18,"20,182"
2020-06-19,"20,790"
2020-06-20,"21,444"
2020-06-21,"21,997"
2020-06-22,"22,633"
2020-06-23,"23,388"
2020-06-24,"23,887"
2020-06-25,"24,303"
2020-06-26,"24,943"
2020-06-27,"25,380"
2020-06-28,"25,778"
2020-06-29,"26,115"
2020-06-30,"26,598"
2020-07-01,"26,938"
2020-07-02,"27,170"
2020-07-03,"27,506"
2020-07-04,"27,843"
2020-07-05,"28,116"
2020-07-06,"28,236"
2020-07-07,"28,681"
2020-07-08,"29,052"
2020-07-09,"29,406"
2020-07-10,"29,775"
2020-07-11,"30,078"
2020-07-12,"30,486"
2020-07-13,"30,747"
2020-07-14,"31,001"
2020-07-15,"31,217"
2020-07-16,"31,486"
2020-07-17,"31,669"
2020-07-18,"31,890"
2020-07-19,"32,086"
2020-07-20,"32,243"
2020-07-21,"32,523"
2020-07-22,"32,753"
2020-07-23,"32,898"
2020-07-24,"33,071"
2020-07-25,"33,220"
2020-07-26,"33,397"
2020-07-27,"33,510"
2020-07-28,"33,724"
2020-07-29,"33,845"
2020-07-30,"33,958"
2020-07-31,"34,056"
2020-08-01,"34,160"
2020-08-02,"34,223"
2020-08-03,"34,253"
