date,pakistan,pop0
2/25/2020,,220892331
2/26/2020,,220892331
2/27/2020,,220892331
2/28/2020,,220892331
2/29/2020,,220892331
3/1/2020,,220892331
3/2/2020,,220892331
3/3/2020,,220892331
3/4/2020,,220892331
3/5/2020,,220892331
3/6/2020,,220892331
3/7/2020,,220892331
3/8/2020,,220892331
3/9/2020,,220892331
3/10/2020,,220892331
3/11/2020,,220892331
3/12/2020,,220892331
3/13/2020,,220892331
3/14/2020,,220892331
3/15/2020,,220892331
3/16/2020,,220892331
3/17/2020,,220892331
3/18/2020,0.009,220892331
3/19/2020,0.014,220892331
3/20/2020,0.014,220892331
3/21/2020,0.023,220892331
3/22/2020,0.027,220892331
3/23/2020,0.032,220892331
3/24/2020,0.036,220892331
3/25/2020,0.041,220892331
3/26/2020,0.05,220892331
3/27/2020,0.054,220892331
3/28/2020,0.063,220892331
3/29/2020,0.095,220892331
3/30/2020,0.118,220892331
3/31/2020,0.122,220892331
4/1/2020,0.154,220892331
4/2/2020,0.181,220892331
4/3/2020,0.186,220892331
4/4/2020,0.213,220892331
4/5/2020,0.24,220892331
4/6/2020,0.258,220892331
4/7/2020,0.276,220892331
4/8/2020,0.294,220892331
4/9/2020,0.299,220892331
4/10/2020,0.389,220892331
4/11/2020,0.412,220892331
4/12/2020,0.421,220892331
4/13/2020,0.435,220892331
4/14/2020,0.503,220892331
4/15/2020,0.579,220892331
4/16/2020,0.611,220892331
4/17/2020,0.647,220892331
4/18/2020,0.761,220892331
4/19/2020,0.797,220892331
4/20/2020,0.91,220892331
4/21/2020,0.96,220892331
4/22/2020,1.073,220892331
4/23/2020,1.145,220892331
4/24/2020,1.218,220892331
4/25/2020,1.272,220892331
4/26/2020,1.322,220892331
4/27/2020,1.412,220892331
4/28/2020,1.553,220892331
4/29/2020,1.743,220892331
4/30/2020,1.888,220892331
5/1/2020,1.992,220892331
5/2/2020,2.069,220892331
5/3/2020,2.155,220892331
5/4/2020,2.327,220892331
5/5/2020,2.553,220892331
5/6/2020,2.648,220892331
5/7/2020,2.712,220892331
5/8/2020,2.879,220892331
5/9/2020,2.983,220892331
5/10/2020,3.196,220892331
5/11/2020,3.336,220892331
5/12/2020,3.445,220892331
5/13/2020,3.486,220892331
5/14/2020,3.776,220892331
5/15/2020,3.776,220892331
5/16/2020,3.952,220892331
5/17/2020,4.088,220892331
5/18/2020,4.251,220892331
5/19/2020,4.459,220892331
5/20/2020,4.604,220892331
5/21/2020,4.83,220892331
5/22/2020,4.984,220892331
5/23/2020,5.129,220892331
5/24/2020,5.283,220892331
5/25/2020,5.419,220892331
5/26/2020,5.546,220892331
5/27/2020,5.704,220892331
5/28/2020,5.962,220892331
5/29/2020,6.315,220892331
5/30/2020,6.714,220892331
5/31/2020,6.985,220892331
6/1/2020,7.338,220892331
6/2/2020,7.642,220892331
6/3/2020,8.013,220892331
6/4/2020,8.321,220892331
6/5/2020,8.76,220892331
6/6/2020,9.063,220892331
6/7/2020,9.358,220892331
6/8/2020,9.833,220892331
6/9/2020,10.209,220892331
6/10/2020,10.666,220892331
6/11/2020,11.15,220892331
6/12/2020,11.15,220892331
6/13/2020,11.549,220892331
6/14/2020,12.354,220892331
6/15/2020,12.852,220892331
6/16/2020,13.468,220892331
6/17/2020,14.002,220892331
6/18/2020,14.618,220892331
6/19/2020,15.311,220892331
6/20/2020,15.849,220892331
6/21/2020,16.252,220892331
6/22/2020,16.728,220892331
6/23/2020,16.999,220892331
6/24/2020,17.669,220892331
6/25/2020,17.936,220892331
6/26/2020,18.267,220892331
6/27/2020,18.643,220892331
6/28/2020,18.864,220892331
6/29/2020,19.485,220892331
6/30/2020,19.897,220892331
7/1/2020,20.25,220892331
7/2/2020,20.603,220892331
7/3/2020,20.603,220892331
7/4/2020,20.911,220892331
7/5/2020,21.558,220892331
7/6/2020,21.907,220892331
7/7/2020,22.282,220892331
7/8/2020,22.559,220892331
