date,cases
2020-03-15,1
2020-03-16,26
2020-03-17,33
2020-03-18,80
2020-03-19,96
2020-03-20,152
2020-03-21,225
2020-03-22,249
2020-03-23,296
2020-03-24,323
2020-03-25,408
2020-03-26,490
2020-03-27,558
2020-03-28,593
2020-03-29,652
2020-03-30,708
2020-03-31,845
2020-04-01,920
2020-04-02,"1,072"
2020-04-03,"1,163"
2020-04-04,"1,493"
2020-04-05,"1,918"
2020-04-06,"2,030"
2020-04-07,"2,171"
2020-04-08,"2,279"
2020-04-09,"2,336"
2020-04-10,"2,425"
2020-04-11,"2,594"
2020-04-12,"2,826"
2020-04-13,"2,945"
2020-04-14,"3,217"
2020-04-15,"3,276"
2020-04-16,"3,391"
2020-04-17,"3,649"
2020-04-18,"3,721"
2020-04-19,"4,195"
2020-04-20,"4,328"
2020-04-21,"4,590"
2020-04-22,"4,767"
2020-04-23,"5,046"
2020-04-24,"5,378"
2020-04-25,"5,446"
2020-04-26,"5,640"
2020-04-27,"5,827"
2020-04-28,"6,061"
2020-04-29,"6,340"
2020-04-30,"6,733"
2020-05-01,"7,106"
2020-05-02,"7,524"
2020-05-03,"8,103"
2020-05-04,"8,420"
2020-05-05,"9,077"
2020-05-06,"10,033"
2020-05-07,"10,471"
2020-05-08,"11,093"
2020-05-09,"11,568"
2020-05-10,"11,869"
2020-05-11,"13,225"
2020-05-12,"13,561"
2020-05-13,"13,914"
2020-05-14,"14,201"
2020-05-15,"14,584"
2020-05-16,"15,346"
2020-05-17,"15,976"
2020-05-18,"16,685"
2020-05-19,"17,382"
2020-05-20,"18,455"
2020-05-21,"18,730"
2020-05-22,"19,557"
2020-05-23,"20,077"
2020-05-24,"20,654"
2020-05-25,"21,118"
2020-05-26,"22,037"
2020-05-27,"22,964"
2020-05-28,"24,104"
2020-05-29,"25,056"
2020-05-30,"26,240"
2020-05-31,"27,850"
2020-06-01,"29,489"
2020-06-02,"31,104"
2020-06-03,"33,144"
2020-06-04,"35,308"
2020-06-05,"37,090"
2020-06-06,"38,903"
2020-06-07,"40,819"
2020-06-08,"43,460"
2020-06-09,"45,463"
2020-06-10,"47,382"
2020-06-11,"50,087"
2020-06-12,"52,601"
2020-06-13,"54,138"
2020-06-14,"55,878"
2020-06-15,"58,239"
2020-06-16,"60,138"
2020-06-17,"61,678"
2020-06-18,"64,216"
2020-06-19,"65,739"
2020-06-20,"66,943"
2020-06-21,"68,308"
2020-06-22,"69,536"
2020-06-23,"71,191"
2020-06-24,"71,987"
2020-06-25,"72,880"
2020-06-26,"74,202"
2020-06-27,"74,778"
2020-06-28,"75,501"
2020-06-29,"76,262"
2020-06-30,"77,740"
2020-07-01,"78,956"
2020-07-02,"80,297"
2020-07-03,"81,317"
2020-07-04,"81,963"
2020-07-05,"82,669"
2020-07-06,"83,599"
2020-07-07,"84,587"
2020-07-08,"85,261"
2020-07-09,"85,991"
2020-07-10,"86,556"
2020-07-11,"87,043"
2020-07-12,"87,492"
2020-07-13,"88,045"
2020-07-14,"88,539"
2020-07-15,"89,023"
2020-07-16,"89,465"
2020-07-17,"89,793"
2020-07-18,"90,191"
2020-07-19,"90,444"
2020-07-20,"90,816"
2020-07-21,"91,129"
2020-07-22,"91,423"
2020-07-23,"91,691"
2020-07-24,"91,901"
2020-07-25,"92,073"
2020-07-26,"92,279"
2020-07-27,"92,452"
2020-07-28,"92,655"
2020-07-29,"92,873"
2020-07-30,"93,057"
2020-07-31,"93,173"
2020-08-01,"93,197"
2020-08-02,"93,336"
2020-08-03,"93,571"
2020-08-04,"93,847"
2020-08-05,"94,040"
2020-08-06,"94,223"
2020-08-07,"94,360"
2020-08-08,"94,477"
2020-08-09,"94,586"
2020-08-10,"94,715"
2020-08-11,"94,865"
2020-08-12,"94,993"
2020-08-13,"95,203"
2020-08-14,"95,391"
2020-08-15,"95,447"
2020-08-16,"95,611"
2020-08-17,"95,742"
2020-08-18,"95,800"
2020-08-19,"95,958"
2020-08-20,"96,057"
2020-08-21,"96,178"
2020-08-22,"96,233"
2020-08-23,"96,391"
2020-08-24,"96,466"
2020-08-25,"96,540"
2020-08-26,"96,636"
2020-08-27,"96,699"
2020-08-28,"96,741"
2020-08-29,"96,769"
2020-08-30,"96,832"
2020-08-31,"96,921"
2020-09-01,"96,983"
2020-09-02,"97,044"
2020-09-03,"97,118"
2020-09-04,"97,166"
2020-09-05,"97,226"
2020-09-06,"97,306"
2020-09-07,"97,389"
2020-09-08,"97,461"
2020-09-09,"97,533"
2020-09-10,"97,602"
2020-09-11,"97,679"
2020-09-12,"97,760"
2020-09-13,"97,817"
2020-09-14,"97,946"
2020-09-15,"98,041"
2020-09-16,"98,142"
2020-09-17,"98,272"
2020-09-18,"98,368"
2020-09-19,"98,428"
2020-09-20,"98,487"
2020-09-21,"98,602"
2020-09-22,"98,686"
2020-09-23,"98,864"
2020-09-24,"98,941"
2020-09-25,"99,128"
2020-09-26,"99,219"
2020-09-27,"99,292"
2020-09-28,"99,378"
2020-09-29,"99,479"
2020-09-30,"99,605"
2020-10-01,"99,665"
2020-10-02,"99,812"
2020-10-03,"99,941"
2020-10-04,"100,033"
2020-10-05,"100,148"
2020-10-06,"100,272"
2020-10-07,"100,330"
2020-10-08,"100,484"
2020-10-09,"100,687"
2020-10-10,"100,764"
2020-10-11,"100,892"
2020-10-12,"101,014"
2020-10-13,"101,237"
2020-10-14,"101,367"
2020-10-15,"101,425"
2020-10-16,"101,559"
2020-10-17,"101,652"
2020-10-18,"101,760"
2020-10-19,"101,936"
2020-10-20,"102,107"
2020-10-21,"102,253"
2020-10-22,"102,467"
2020-10-23,"102,677"
2020-10-24,"102,875"
2020-10-25,"103,082"
2020-10-26,"103,314"
2020-10-27,"103,587"
2020-10-28,"103,831"
2020-10-29,"104,016"
2020-10-30,"104,271"
2020-10-31,"104,554"
2020-11-01,"104,894"
2020-11-02,"105,197"
2020-11-03,"105,535"
2020-11-04,"105,856"
2020-11-05,"106,208"
2020-11-06,"106,577"
2020-11-07,"106,922"
2020-11-08,"107,329"
2020-11-09,"107,831"
2020-11-10,"108,221"
2020-11-11,"108,822"
2020-11-12,"109,309"
2020-11-13,"109,993"
2020-11-14,"110,450"
2020-11-15,"111,047"
2020-11-16,"111,626"
2020-11-17,"112,284"
2020-11-18,"112,893"
2020-11-19,"113,457"
2020-11-20,"114,010"
2020-11-21,"114,508"
2020-11-22,"115,138"
2020-11-23,"115,786"
2020-11-24,"116,506"
2020-11-25,"117,160"
2020-11-26,"117,898"
2020-11-27,"118,511"
2020-11-28,"119,035"
2020-11-29,"119,578"
2020-11-30,"120,356"
2020-12-01,"121,083"
2020-12-02,"121,753"
2020-12-03,"122,293"
2020-12-04,"122,955"
2020-12-05,"123,762"
2020-12-06,"124,191"
2020-12-07,"124,804"
2020-12-08,"125,250"
2020-12-09,"125,897"
2020-12-10,"126,526"
2020-12-11,"127,212"
2020-12-12,"127,541"
2020-12-13,"128,138"
2020-12-14,"128,673"
2020-12-15,"129,291"
2020-12-16,"130,122"
2020-12-17,"130,706"
2020-12-18,"131,428"
2020-12-19,"131,933"
2020-12-20,"132,526"
2020-12-21,"133,179"
2020-12-22,"133,874"
2020-12-23,"134,345"
2020-12-24,"135,141"
2020-12-25,"135,665"
2020-12-26,"136,147"
2020-12-27,"136,669"
2020-12-28,"137,295"
2020-12-29,"137,949"
2020-12-30,"138,608"
2020-12-31,"139,341"
2021-01-01,"140,188"
2021-01-02,"140,714"
2021-01-03,"141,393"
2021-01-04,"142,058"
2021-01-05,"142,835"
2021-01-06,"143,511"
2021-01-07,"144,111"
2021-01-08,"144,909"
2021-01-09,"145,508"
2021-01-10,"146,016"
2021-01-11,"146,525"
2021-01-12,"147,292"
2021-01-13,"147,953"
2021-01-14,"148,488"
2021-01-15,"149,222"
2021-01-16,"149,782"
2021-01-17,"150,316"
2021-01-18,"150,889"
2021-01-19,"151,603"
2021-01-20,"152,158"
2021-01-21,"152,925"
2021-01-22,"153,410"
2021-01-23,"154,017"
2021-01-24,"154,717"
2021-01-25,"155,214"
2021-01-26,"155,805"
2021-01-27,"156,404"
2021-01-28,"156,928"
2021-01-29,"157,353"
2021-01-30,"157,796"
2021-01-31,"158,220"
2021-02-01,"158,793"
2021-02-02,"159,311"
2021-02-03,"159,705"
2021-02-04,"160,162"
2021-02-05,"160,580"
2021-02-06,"160,935"
2021-02-07,"161,347"
2021-02-08,"161,757"
2021-02-09,"162,391"
2021-02-10,"162,875"
2021-02-11,"163,367"
2021-02-12,"163,833"
2021-02-13,"164,268"
2021-02-14,"164,696"
2021-02-15,"165,200"
2021-02-16,"165,716"
2021-02-17,"166,242"
2021-02-18,"166,776"
2021-02-19,"167,345"
2021-02-20,"167,819"
2021-02-21,"168,348"
2021-02-22,"168,891"
2021-02-23,"169,474"
2021-02-24,"170,222"
2021-02-25,"170,817"
2021-02-26,"171,349"
2021-02-27,"172,054"
2021-02-28,"172,683"
2021-03-01,"173,395"
2021-03-02,"174,191"
2021-03-03,"175,051"
2021-03-04,"175,964"
2021-03-05,"177,008"
2021-03-06,"177,823"
2021-03-07,"178,648"
