date,,russia,,pop4
1/31/2020,,,,145934460
2/1/2020,,,,145934460
2/2/2020,,,,145934460
2/3/2020,,,,145934460
2/4/2020,,,,145934460
2/5/2020,,,,145934460
2/6/2020,,,,145934460
2/7/2020,,,,145934460
2/8/2020,,,,145934460
2/9/2020,,,,145934460
2/10/2020,,,,145934460
2/11/2020,,,,145934460
2/12/2020,,,,145934460
2/13/2020,,,,145934460
2/14/2020,,,,145934460
2/15/2020,,,,145934460
2/16/2020,,,,145934460
2/17/2020,,,,145934460
2/18/2020,,,,145934460
2/19/2020,,,,145934460
2/20/2020,,,,145934460
2/21/2020,,,,145934460
2/22/2020,,,,145934460
2/23/2020,,,,145934460
2/24/2020,,,,145934460
2/25/2020,,,,145934460
2/26/2020,,,,145934460
2/27/2020,,,,145934460
2/28/2020,,,,145934460
2/29/2020,,,,145934460
3/1/2020,,,,145934460
3/2/2020,,,,145934460
3/3/2020,,,,145934460
3/4/2020,,,,145934460
3/5/2020,,,,145934460
3/6/2020,,,,145934460
3/7/2020,,,,145934460
3/8/2020,,,,145934460
3/9/2020,,,,145934460
3/10/2020,,,,145934460
3/11/2020,,,,145934460
3/12/2020,,,,145934460
3/13/2020,,,,145934460
3/14/2020,,,,145934460
3/15/2020,,,,145934460
3/16/2020,,,,145934460
3/17/2020,,,,145934460
3/18/2020,,,,145934460
3/19/2020,,0.007,,145934460
3/20/2020,,0.007,,145934460
3/21/2020,,0.007,,145934460
3/22/2020,,0.007,,145934460
3/23/2020,,0.007,,145934460
3/24/2020,,0.007,,145934460
3/25/2020,,0.021,,145934460
3/26/2020,,0.021,,145934460
3/27/2020,,0.027,,145934460
3/28/2020,,0.027,,145934460
3/29/2020,,0.055,,145934460
3/30/2020,,0.062,,145934460
3/31/2020,,0.116,,145934460
4/1/2020,,0.164,,145934460
4/2/2020,,0.206,,145934460
4/3/2020,,0.233,,145934460
4/4/2020,,0.295,,145934460
4/5/2020,,0.308,,145934460
4/6/2020,,0.322,,145934460
4/7/2020,,0.397,,145934460
4/8/2020,,0.432,,145934460
4/9/2020,,0.521,,145934460
4/10/2020,,0.644,,145934460
4/11/2020,,0.726,,145934460
4/12/2020,,0.891,,145934460
4/13/2020,,1.014,,145934460
4/14/2020,,1.165,,145934460
4/15/2020,,1.357,,145934460
4/16/2020,,1.59,,145934460
4/17/2020,,1.871,,145934460
4/18/2020,,2.145,,145934460
4/19/2020,,2.474,,145934460
4/20/2020,,2.775,,145934460
4/21/2020,,3.125,,145934460
4/22/2020,,3.515,,145934460
4/23/2020,,3.803,,145934460
4/24/2020,,4.214,,145934460
4/25/2020,,4.666,,145934460
4/26/2020,,5.119,,145934460
4/27/2020,,5.441,,145934460
4/28/2020,,5.941,,145934460
4/29/2020,,6.661,,145934460
4/30/2020,,7.353,,145934460
5/1/2020,,8.01,,145934460
5/2/2020,,8.374,,145934460
5/3/2020,,8.771,,145934460
5/4/2020,,9.292,,145934460
5/5/2020,,9.943,,145934460
5/6/2020,,10.532,,145934460
5/7/2020,,11.135,,145934460
5/8/2020,,11.807,,145934460
5/9/2020,,12.519,,145934460
5/10/2020,,13.122,,145934460
5/11/2020,,13.766,,145934460
5/12/2020,,14.5,,145934460
5/13/2020,,15.157,,145934460
5/14/2020,,15.795,,145934460
5/15/2020,,16.569,,145934460
5/16/2020,,17.385,,145934460
5/17/2020,,18.029,,145934460
5/18/2020,,18.652,,145934460
5/19/2020,,19.44,,145934460
5/20/2020,,20.365,,145934460
5/21/2020,,21.236,,145934460
5/22/2020,,22.263,,145934460
5/23/2020,,23.216,,145934460
5/24/2020,,24.264,,145934460
5/25/2020,,24.895,,145934460
5/26/2020,,26.087,,145934460
5/27/2020,,27.19,,145934460
5/28/2020,,28.383,,145934460
5/29/2020,,29.972,,145934460
5/30/2020,,31.213,,145934460
5/31/2020,,32.158,,145934460
6/1/2020,,33.227,,145934460
6/2/2020,,34.474,,145934460
6/3/2020,,35.687,,145934460
6/4/2020,,36.838,,145934460
6/5/2020,,37.825,,145934460
6/6/2020,,39.175,,145934460
6/7/2020,,40.093,,145934460
6/8/2020,,40.861,,145934460
6/9/2020,,42.033,,145934460
6/10/2020,,43.513,,145934460
6/11/2020,,44.691,,145934460
6/12/2020,,45.945,,145934460
6/13/2020,,46.726,,145934460
6/14/2020,,47.542,,145934460
6/15/2020,,48.522,,145934460
6/16/2020,,49.844,,145934460
6/17/2020,,51.174,,145934460
6/18/2020,,52.421,,145934460
6/19/2020,,53.661,,145934460
6/20/2020,,54.764,,145934460
6/21/2020,,55.511,,145934460
6/22/2020,,56.162,,145934460
6/23/2020,,57.211,,145934460
6/24/2020,,58.266,,145934460
6/25/2020,,58.889,,145934460
6/26/2020,,60.095,,145934460
6/27/2020,,61.384,,145934460
6/28/2020,,62.083,,145934460
6/29/2020,,62.713,,145934460
6/30/2020,,63.768,,145934460
7/1/2020,,65.242,,145934460
7/2/2020,,66.249,,145934460
7/3/2020,,67.455,,145934460
7/4/2020,,68.599,,145934460
7/5/2020,,69.518,,145934460
7/6/2020,,70.443,,145934460
7/7/2020,,71.799,,145934460
7/8/2020,,72.978,,145934460
7/9/2020,,74.184,,145934460
7/10/2020,,75.376,,145934460
7/11/2020,,76.665,,145934460
7/12/2020,,77.555,,145934460
7/13/2020,,78.268,,145934460
7/14/2020,,79.467,,145934460
7/15/2020,,80.536,,145934460
7/16/2020,,81.681,,145934460
7/17/2020,,82.955,,145934460
7/18/2020,,83.791,,145934460
7/19/2020,,84.442,,145934460
7/20/2020,,85.024,,145934460
7/21/2020,,86.073,,145934460
7/22/2020,,87.204,,145934460
7/23/2020,,88.211,,145934460
7/24/2020,,89.259,,145934460
7/25/2020,,90.26,,145934460
7/26/2020,,90.787,,145934460
7/27/2020,,91.37,,145934460
7/28/2020,,92.391,,145934460
7/29/2020,,93.535,,145934460
7/30/2020,,94.412,,145934460
7/31/2020,,95.515,,145934460
8/1/2020,,96.166,,145934460
8/2/2020,,96.646,,145934460
8/3/2020,,97.187,,145934460
8/4/2020,,98.174,,145934460
8/5/2020,,99.12,,145934460
8/6/2020,,99.901,,145934460
8/7/2020,,100.716,,145934460
8/8/2020,,101.6,,145934460
8/9/2020,,102.121,,145934460
8/10/2020,,102.601,,145934460
8/11/2020,,103.492,,145934460
8/12/2020,,104.369,,145934460
