date,,rwanda,,pop2
3/14/2020,,,,12952209
3/15/2020,,,,12952209
3/16/2020,,,,12952209
3/17/2020,,,,12952209
3/18/2020,,,,12952209
3/19/2020,,,,12952209
3/20/2020,,,,12952209
3/21/2020,,,,12952209
3/22/2020,,,,12952209
3/23/2020,,,,12952209
3/24/2020,,,,12952209
3/25/2020,,,,12952209
3/26/2020,,,,12952209
3/27/2020,,,,12952209
3/28/2020,,,,12952209
3/29/2020,,,,12952209
3/30/2020,,,,12952209
3/31/2020,,,,12952209
4/1/2020,,,,12952209
4/2/2020,,,,12952209
4/3/2020,,,,12952209
4/4/2020,,,,12952209
4/5/2020,,,,12952209
4/6/2020,,,,12952209
4/7/2020,,,,12952209
4/8/2020,,,,12952209
4/9/2020,,,,12952209
4/10/2020,,,,12952209
4/11/2020,,,,12952209
4/12/2020,,,,12952209
4/13/2020,,,,12952209
4/14/2020,,,,12952209
4/15/2020,,,,12952209
4/16/2020,,,,12952209
4/17/2020,,,,12952209
4/18/2020,,,,12952209
4/19/2020,,,,12952209
4/20/2020,,,,12952209
4/21/2020,,,,12952209
4/22/2020,,,,12952209
4/23/2020,,,,12952209
4/24/2020,,,,12952209
4/25/2020,,,,12952209
4/26/2020,,,,12952209
4/27/2020,,,,12952209
4/28/2020,,,,12952209
4/29/2020,,,,12952209
4/30/2020,,,,12952209
5/1/2020,,,,12952209
5/2/2020,,,,12952209
5/3/2020,,,,12952209
5/4/2020,,,,12952209
5/5/2020,,,,12952209
5/6/2020,,,,12952209
5/7/2020,,,,12952209
5/8/2020,,,,12952209
5/9/2020,,,,12952209
5/10/2020,,,,12952209
5/11/2020,,,,12952209
5/12/2020,,,,12952209
5/13/2020,,,,12952209
5/14/2020,,,,12952209
5/15/2020,,,,12952209
5/16/2020,,,,12952209
5/17/2020,,,,12952209
5/18/2020,,,,12952209
5/19/2020,,,,12952209
5/20/2020,,,,12952209
5/21/2020,,,,12952209
5/22/2020,,,,12952209
5/23/2020,,,,12952209
5/24/2020,,,,12952209
5/25/2020,,,,12952209
5/26/2020,,,,12952209
5/27/2020,,,,12952209
5/28/2020,,,,12952209
5/29/2020,,,,12952209
5/30/2020,,0.077,,12952209
5/31/2020,,0.077,,12952209
6/1/2020,,0.077,,12952209
6/2/2020,,0.154,,12952209
6/3/2020,,0.154,,12952209
6/4/2020,,0.154,,12952209
6/5/2020,,0.154,,12952209
6/6/2020,,0.154,,12952209
6/7/2020,,0.154,,12952209
6/8/2020,,0.154,,12952209
6/9/2020,,0.154,,12952209
6/10/2020,,0.154,,12952209
6/11/2020,,0.154,,12952209
