date,cases
2020-02-26,1
2020-02-27,2
2020-02-28,3
2020-02-29,4
2020-03-01,13
2020-03-02,14
2020-03-03,15
2020-03-04,16
2020-03-05,18
2020-03-06,34
2020-03-07,150
2020-03-08,172
2020-03-09,208
2020-03-10,245
2020-03-11,253
2020-03-12,292
2020-03-13,333
2020-03-14,394
2020-03-15,407
2020-03-16,413
2020-03-17,417
2020-03-18,457
2020-03-19,481
2020-03-20,508
2020-03-21,627
2020-03-22,676
2020-03-23,743
2020-03-24,783
2020-03-25,839
2020-03-26,864
2020-03-27,881
2020-03-28,932
2020-03-29,986
2020-03-30,"1,036"
2020-03-31,"1,128"
2020-04-01,"1,214"
2020-04-02,"1,318"
2020-04-03,"1,411"
2020-04-04,"1,452"
2020-04-05,"1,518"
2020-04-06,"1,668"
2020-04-07,"2,008"
2020-04-08,"2,217"
2020-04-09,"2,355"
2020-04-10,"2,537"
2020-04-11,"2,764"
2020-04-12,"3,053"
2020-04-13,"3,373"
2020-04-14,"3,671"
2020-04-15,"3,945"
2020-04-16,"4,232"
2020-04-17,"4,615"
2020-04-18,"4,956"
2020-04-19,"5,291"
2020-04-20,"5,695"
2020-04-21,"6,053"
2020-04-22,"6,675"
2020-04-23,"7,102"
2020-04-24,"7,465"
2020-04-25,"7,882"
2020-04-26,"8,189"
2020-04-27,"8,640"
2020-04-28,"9,093"
2020-04-29,"9,691"
2020-04-30,"10,771"
2020-05-01,"11,480"
2020-05-02,"12,017"
2020-05-03,"12,610"
2020-05-04,"13,341"
2020-05-05,"14,099"
2020-05-06,"14,916"
2020-05-07,"15,590"
2020-05-08,"16,377"
2020-05-09,"17,241"
2020-05-10,"17,947"
2020-05-11,"18,964"
2020-05-12,"19,924"
2020-05-13,"20,883"
2020-05-14,"21,645"
2020-05-15,"22,491"
2020-05-16,"22,934"
2020-05-17,"23,507"
2020-05-18,"24,206"
2020-05-19,"25,309"
2020-05-20,"26,113"
2020-05-21,"27,360"
2020-05-22,"28,245"
2020-05-23,"29,647"
2020-05-24,"31,086"
2020-05-25,"31,869"
2020-05-26,"33,536"
2020-05-27,"34,889"
2020-05-28,"36,364"
2020-05-29,"38,108"
2020-05-30,"39,555"
2020-05-31,"41,303"
2020-06-01,"43,790"
2020-06-02,"46,828"
2020-06-03,"49,256"
2020-06-04,"51,518"
2020-06-05,"53,805"
