date,,zimbabwe,,pop3
3/20/2020,,,,14862927
3/21/2020,,,,14862927
3/22/2020,,,,14862927
3/23/2020,,0.067,,14862927
3/24/2020,,0.067,,14862927
3/25/2020,,0.067,,14862927
3/26/2020,,0.067,,14862927
3/27/2020,,0.067,,14862927
3/28/2020,,0.067,,14862927
3/29/2020,,0.067,,14862927
3/30/2020,,0.067,,14862927
3/31/2020,,0.067,,14862927
4/1/2020,,0.067,,14862927
4/2/2020,,0.067,,14862927
4/3/2020,,0.067,,14862927
4/4/2020,,0.067,,14862927
4/5/2020,,0.067,,14862927
4/6/2020,,0.067,,14862927
4/7/2020,,0.135,,14862927
4/8/2020,,0.202,,14862927
4/9/2020,,0.202,,14862927
4/10/2020,,0.202,,14862927
4/11/2020,,0.202,,14862927
4/12/2020,,0.202,,14862927
4/13/2020,,0.202,,14862927
4/14/2020,,0.202,,14862927
4/15/2020,,0.202,,14862927
4/16/2020,,0.202,,14862927
4/17/2020,,0.202,,14862927
4/18/2020,,0.202,,14862927
4/19/2020,,0.202,,14862927
4/20/2020,,0.202,,14862927
4/21/2020,,0.202,,14862927
4/22/2020,,0.269,,14862927
4/23/2020,,0.269,,14862927
4/24/2020,,0.269,,14862927
4/25/2020,,0.269,,14862927
4/26/2020,,0.269,,14862927
4/27/2020,,0.269,,14862927
4/28/2020,,0.269,,14862927
4/29/2020,,0.269,,14862927
4/30/2020,,0.269,,14862927
5/1/2020,,0.269,,14862927
5/2/2020,,0.269,,14862927
5/3/2020,,0.269,,14862927
5/4/2020,,0.269,,14862927
5/5/2020,,0.269,,14862927
5/6/2020,,0.269,,14862927
5/7/2020,,0.269,,14862927
5/8/2020,,0.269,,14862927
5/9/2020,,0.269,,14862927
5/10/2020,,0.269,,14862927
5/11/2020,,0.269,,14862927
5/12/2020,,0.269,,14862927
5/13/2020,,0.269,,14862927
5/14/2020,,0.269,,14862927
5/15/2020,,0.269,,14862927
5/16/2020,,0.269,,14862927
5/17/2020,,0.269,,14862927
5/18/2020,,0.269,,14862927
5/19/2020,,0.269,,14862927
5/20/2020,,0.269,,14862927
5/21/2020,,0.269,,14862927
5/22/2020,,0.269,,14862927
5/23/2020,,0.269,,14862927
5/24/2020,,0.269,,14862927
5/25/2020,,0.269,,14862927
5/26/2020,,0.269,,14862927
5/27/2020,,0.269,,14862927
5/28/2020,,0.269,,14862927
5/29/2020,,0.269,,14862927
5/30/2020,,0.269,,14862927
5/31/2020,,0.269,,14862927
6/1/2020,,0.269,,14862927
6/2/2020,,0.269,,14862927
6/3/2020,,0.269,,14862927
6/4/2020,,0.269,,14862927
6/5/2020,,0.269,,14862927
6/6/2020,,0.269,,14862927
6/7/2020,,0.269,,14862927
6/8/2020,,0.269,,14862927
6/9/2020,,0.269,,14862927
6/10/2020,,0.269,,14862927
6/11/2020,,0.269,,14862927
6/12/2020,,0.269,,14862927
6/13/2020,,0.269,,14862927
6/14/2020,,0.269,,14862927
6/15/2020,,0.269,,14862927
6/16/2020,,0.269,,14862927
6/17/2020,,0.269,,14862927
6/18/2020,,0.269,,14862927
6/19/2020,,0.269,,14862927
6/20/2020,,0.269,,14862927
6/21/2020,,0.404,,14862927
6/22/2020,,0.404,,14862927
6/23/2020,,0.404,,14862927
6/24/2020,,0.404,,14862927
6/25/2020,,0.404,,14862927
6/26/2020,,0.404,,14862927
6/27/2020,,0.404,,14862927
6/28/2020,,0.404,,14862927
6/29/2020,,0.471,,14862927
6/30/2020,,0.471,,14862927
7/1/2020,,0.471,,14862927
7/2/2020,,0.471,,14862927
7/3/2020,,0.471,,14862927
7/4/2020,,0.538,,14862927
7/5/2020,,0.538,,14862927
7/6/2020,,0.606,,14862927
7/7/2020,,0.606,,14862927
7/8/2020,,0.606,,14862927
7/9/2020,,0.606,,14862927
7/10/2020,,0.875,,14862927
7/11/2020,,1.211,,14862927
7/12/2020,,1.211,,14862927
7/13/2020,,1.278,,14862927
7/14/2020,,1.346,,14862927
7/15/2020,,1.346,,14862927
7/16/2020,,1.547,,14862927
7/17/2020,,1.615,,14862927
7/18/2020,,1.682,,14862927
7/19/2020,,1.682,,14862927
7/20/2020,,1.749,,14862927
7/21/2020,,1.749,,14862927
7/22/2020,,1.749,,14862927
7/23/2020,,1.884,,14862927
7/24/2020,,2.153,,14862927
7/25/2020,,2.288,,14862927
7/26/2020,,2.288,,14862927
7/27/2020,,2.422,,14862927
7/28/2020,,2.691,,14862927
7/29/2020,,2.759,,14862927
7/30/2020,,3.566,,14862927
7/31/2020,,4.508,,14862927
8/1/2020,,4.642,,14862927
8/2/2020,,4.71,,14862927
8/3/2020,,5.383,,14862927
8/4/2020,,5.45,,14862927
8/5/2020,,5.45,,14862927
8/6/2020,,5.652,,14862927
8/7/2020,,6.863,,14862927
8/8/2020,,6.863,,14862927
8/9/2020,,6.997,,14862927
8/10/2020,,6.997,,14862927
8/11/2020,,6.997,,14862927
8/12/2020,,8.208,,14862927
8/13/2020,,8.612,,14862927
8/14/2020,,8.612,,14862927
8/15/2020,,8.747,,14862927
8/16/2020,,8.881,,14862927
8/17/2020,,9.083,,14862927
8/18/2020,,9.487,,14862927
8/19/2020,,10.092,,14862927
8/20/2020,,10.16,,14862927
8/21/2020,,10.227,,14862927
8/22/2020,,10.294,,14862927
8/23/2020,,10.429,,14862927
8/24/2020,,10.429,,14862927
8/25/2020,,11.169,,14862927
8/26/2020,,12.043,,14862927
8/27/2020,,12.716,,14862927
8/28/2020,,13.12,,14862927
8/29/2020,,13.187,,14862927
8/30/2020,,13.187,,14862927
8/31/2020,,13.591,,14862927
9/1/2020,,13.658,,14862927
9/2/2020,,13.86,,14862927
9/3/2020,,13.86,,14862927
9/4/2020,,13.86,,14862927
9/5/2020,,13.86,,14862927
9/6/2020,,13.86,,14862927
9/7/2020,,14.129,,14862927
9/8/2020,,14.667,,14862927
9/9/2020,,14.936,,14862927
9/10/2020,,14.936,,14862927
9/11/2020,,15.071,,14862927
9/12/2020,,15.071,,14862927
9/13/2020,,15.071,,14862927
9/14/2020,,15.071,,14862927
9/15/2020,,15.071,,14862927
9/16/2020,,15.071,,14862927
9/17/2020,,15.071,,14862927
9/18/2020,,15.071,,14862927
9/19/2020,,15.138,,14862927
9/20/2020,,15.138,,14862927
9/21/2020,,15.138,,14862927
9/22/2020,,15.206,,14862927
9/23/2020,,15.273,,14862927
9/24/2020,,15.273,,14862927
9/25/2020,,15.273,,14862927
9/26/2020,,15.273,,14862927
9/27/2020,,15.273,,14862927
9/28/2020,,15.34,,14862927
9/29/2020,,15.34,,14862927
9/30/2020,,15.34,,14862927
10/1/2020,,15.34,,14862927
10/2/2020,,15.34,,14862927
10/3/2020,,15.34,,14862927
10/4/2020,,15.34,,14862927
10/5/2020,,15.34,,14862927
10/6/2020,,15.407,,14862927
10/7/2020,,15.407,,14862927
10/8/2020,,15.407,,14862927
10/9/2020,,15.407,,14862927
10/10/2020,,15.475,,14862927
10/11/2020,,15.475,,14862927
10/12/2020,,15.475,,14862927
10/13/2020,,15.475,,14862927
10/14/2020,,15.542,,14862927
10/15/2020,,15.542,,14862927
10/16/2020,,15.542,,14862927
10/17/2020,,15.542,,14862927
10/18/2020,,15.542,,14862927
10/19/2020,,15.609,,14862927
10/20/2020,,15.677,,14862927
10/21/2020,,15.878,,14862927
10/22/2020,,15.878,,14862927
10/23/2020,,15.878,,14862927
10/24/2020,,15.878,,14862927
10/25/2020,,15.946,,14862927
10/26/2020,,16.282,,14862927
10/27/2020,,16.282,,14862927
10/28/2020,,16.282,,14862927
10/29/2020,,16.282,,14862927
10/30/2020,,16.282,,14862927
10/31/2020,,16.349,,14862927
11/1/2020,,16.349,,14862927
11/2/2020,,16.484,,14862927
11/3/2020,,16.551,,14862927
11/4/2020,,16.686,,14862927
11/5/2020,,16.686,,14862927
11/6/2020,,16.82,,14862927
11/7/2020,,16.888,,14862927
11/8/2020,,17.022,,14862927
11/9/2020,,17.09,,14862927
11/10/2020,,17.157,,14862927
11/11/2020,,17.157,,14862927
11/12/2020,,17.157,,14862927
11/13/2020,,17.291,,14862927
11/14/2020,,17.291,,14862927
11/15/2020,,17.291,,14862927
11/16/2020,,17.291,,14862927
11/17/2020,,17.493,,14862927
11/18/2020,,17.56,,14862927
